id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-KLM-0029,PLTD Girimukti,PLTD Girimukti,PLTD,20.0,Kalimantan Timur,Mahakam,existing,,,-1.3411832,116.6713701,way/945128881,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0030,PLTU Tabalong,PLTU Tabalong,PLTU,200.0,Kalimantan Selatan,Kalselteng,existing,,combustion,-2.1632372,115.4412353,way/945128883,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0031,PLTMG Bangkanai,PLTMG Bangkanai,PLTMG,155.0,Kalimantan Tengah,Mahakam,existing,,combustion,-0.6229549,115.137459,way/945128888,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0032,PLTU Kalselteng-1 Pulang Pisau,Kalselteng-1 Power Plant,PLTU,200.0,Kalimantan Tengah,Kalselteng,existing,,,-1.3733024,113.5674728,way/955122312,,NO_CAPACITY;NO_TYPE,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0033,PLTD Banua Lima Unit Barabai,PLTD Banua Lima Unit Barabai,PLTD,6.0,Kalimantan Selatan,Kalselteng,existing,PLN,combustion,-2.5917148,115.3734585,way/1028155968,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0034,PLTD Banua Lima Unit Panangkalaan,PLTD Banua Lima Unit Panangkalaan,PLTD,8.7,Kalimantan Selatan,Kalselteng,existing,PLN,combustion,-2.4050013,115.2626125,way/1028155969,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0035,PLTS Terpusat Long Penaneh,,PLTS,0.0608,Kalimantan Timur,Mahakam,existing,,,0.7744364,114.2787485,way/1042007577,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem komunitas terpencil
GEN-KLM-0036,PLTS Tower BTS Desa Long Apari,,PLTS,0.0054,Kalimantan Timur,Mahakam,existing,,,0.7701449,114.2737324,way/1042007733,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem elektrifikasi desa
GEN-KLM-0037,PLTS Terpusat Long Layu,,PLTS,0.050,Kalimantan Utara,Mahakam,existing,,photovoltaic,3.6130338,115.6975726,way/1043457651,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem komunitas terpencil
GEN-KLM-0038,PLTU Kaltim-4,PLTU Kaltim-4,PLTU,200.0,Kalimantan Timur,Mahakam,existing,,combustion,-0.3644715,117.0651993,way/1148695448,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
