id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-SLW-0052,PLTA Malea,PLTA Malea,PLTA,90.0,Sulawesi Selatan,Sulselrabar,existing,,,-3.188974,119.7490775,way/1004332811,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0053,PLTD Suppa,PLTD Suppa,PLTD,62.2,Sulawesi Selatan,Sulselrabar,existing,,combustion,-3.9706287,119.6247411,way/1004332815,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0055,PLTU Antam Pomalaa,PLTU Antam Pomalaa,PLTU,60.0,Sulawesi Tenggara,Sulselrabar,existing,,combustion,-4.1800836,121.5933145,way/1081219367,coal,,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0056,PLTS Terpusat Desa Perjuangan,,PLTS,0.030,Sulawesi Utara,Sulutgo,existing,,photovoltaic,0.4628204,124.4446638,way/1082004496,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem elektrifikasi desa
GEN-SLW-0057,PLTGU Apung Karpowership Zeynep Sultan,Karpowership (Indonesia) Zeynep Sultan power station,PLTG,,Sulawesi Utara,Sulutgo,existing,,combustion,1.1876303,124.4785981,way/1103596061,gas,NO_CAPACITY,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0058,PLTU IMIP Morowali,Morowali Industrial Park Sulawesi Mining Power Station,PLTU,2080.0,Sulawesi Tengah,Sulteng,existing,,,-2.8286624,122.1557261,way/1118436421,,NO_CAPACITY;NO_TYPE,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan kawasan industri
GEN-SLW-0059,PLTMG Baubau,PLTMG Baubau,PLTMG,30.0,Sulawesi Tenggara,Sulselrabar,existing,,combustion,-5.3961013,122.6274121,way/1121250705,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0060,PLTU Baruta,PLTU Baruta,PLTU,14.0,Sulawesi Tenggara,Sulselrabar,existing,,combustion,-5.323365,122.6413318,way/1121250706,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0061,PLTU Delong Nickel Phase II,Delong Nickel Phase II Power Station,PLTU,1840.0,Sulawesi Tenggara,Sulselrabar,existing,,combustion,-3.8281962,122.4656052,way/1168320730,coal,NO_CAPACITY,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0062,PLTA Larona,PLTA Larona,PLTA,165.0,Sulawesi Selatan,Sulselrabar,existing,PT Vale Indonesia,,-2.6681266,121.2586011,way/1193463283,hydro,,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0063,PLTA Balambano,PLTA Balambano,PLTA,110.0,Sulawesi Selatan,Sulselrabar,existing,PT Vale Indonesia,,-2.6421815,121.2170237,way/1193463288,hydro,,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0064,PLTA Karebbe,PLTA Karebbe,PLTA,90.0,Sulawesi Selatan,Sulselrabar,existing,PT Vale Indonesia,,-2.6666648,121.1813279,way/1193463296,hydro,,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0065,PLTA Poso-1,PLTA Poso-1,PLTA,120.0,Sulawesi Tengah,Sulteng,existing,Poso Energy,run-of-the-river,-1.6599838,120.6601486,way/1193553153,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0066,PLTU Sulut-1,PLTU Sulut-1,PLTU,100.0,Gorontalo,Sulutgo,existing,,combustion,0.8864055,123.4688246,way/1224977651,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0067,PLTD Telaga,PLTD Telaga,PLTD,39.86,Gorontalo,Sulutgo,existing,,,0.5748397,123.0480209,way/1250980902,,NO_CAPACITY,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0068,PLTA Tonsealama,PLTA Tonsealama,PLTA,14.38,Sulawesi Utara,Sulutgo,existing,,,1.3297387,124.9227638,way/1255718819,hydro,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0069,PLTU Sulbagut-1,PLTU Sulbagut-1,PLTU,100.0,Gorontalo,Sulutgo,existing,,combustion,0.9545683,122.9996421,way/1271028773,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0070,PLTU Labota,Sulawesi Labota Power Plant,PLTU,3360.0,Sulawesi Tengah,Sulteng,existing,,combustion,-2.8739151,122.1691965,way/1291862453,coal,NO_CAPACITY,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0071,PLTS Gorontalo,PLTS Gorontalo,PLTS,2.0,Gorontalo,Sulutgo,existing,,,0.9536174,122.5577105,way/1312425747,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0072,PLTS Karampuang 1,PLTS Karampuang 1,PLTS,0.2,Sulawesi Barat,Sulselrabar,existing,,photovoltaic,-2.6356846,118.8818299,way/1322681373,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0073,PLTS Karampuang 2,PLTS Karampuang 2,PLTS,0.12,Sulawesi Barat,Sulselrabar,existing,,photovoltaic,-2.6275081,118.8805013,way/1322681375,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0074,PLTS Karampuang 3,PLTS Karampuang 3,PLTS,0.15,Sulawesi Barat,Sulselrabar,existing,,photovoltaic,-2.6241757,118.890817,way/1322681377,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0075,PLTS Karampuang 4,PLTS Karampuang 4,PLTS,0.13,Sulawesi Barat,Sulselrabar,existing,,photovoltaic,-2.6455713,118.8869481,way/1322681379,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0076,PLTS Kahianga,PLTS Kahianga,PLTS,0.31,Sulawesi Tenggara,Sulselrabar,existing,,photovoltaic,-5.7576757,123.9487823,way/1322685346,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0077,PLTS Lamanggau,PLTS Lamanggau,PLTS,0.22,Sulawesi Tenggara,Sulselrabar,existing,,photovoltaic,-5.7643018,123.9032575,way/1322685350,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0078,PLTS Dete,PLTS Dete,PLTS,0.11,Sulawesi Tenggara,Sulselrabar,existing,,photovoltaic,-5.7747162,123.9739894,way/1322685353,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0079,PLTS Kulati,PLTS Kulati,PLTS,0.14,Sulawesi Tenggara,Sulselrabar,existing,,photovoltaic,-5.7603693,123.9976769,way/1322685356,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0080,PLTS Isimu,PLTS Isimu,PLTS,14.5,Gorontalo,Sulutgo,existing,,photovoltaic,0.6220207,122.8409226,way/1322727205,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0081,PLTS Selayar,PLTS Selayar,PLTS,1.4,Sulawesi Selatan,Sulselrabar,existing,PT PLN,photovoltaic,-6.0463458,120.4585339,way/1323856434,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0082,PLTS Burungloe,PLTS Burungloe,PLTS,0.1,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-5.1179451,120.3913064,way/1323856435,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0083,PLTU Wanxiang Nickel Indonesia,Wanxiang Nickel Indonesia power station,PLTU,130.0,Sulawesi Tengah,Sulteng,existing,,combustion,-2.7312858,122.031064,way/1325505504,coal,NO_CAPACITY,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-SLW-0084,PLTD Manadotua,PLTD Manadotua,PLTD,0.25,Sulawesi Utara,Sulutgo,existing,PT.PLN,reciprocating_engine,1.6447404,124.7093274,way/1329301174,diesel,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0085,PLTS Terpusat Kepulauan Sabalana (Sabalana I & II),,PLTS,0.060,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-6.8547829,119.0977202,way/1331175823,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem elektrifikasi pulau kecil
