id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-SMT-0012,PLTA Sipansihaporas II,PLTA Sipansihaporas II,PLTA,33.0,Sumatera Utara,Sumatra,existing,,,1.7360892,98.8437366,way/329730421,hydro,,OSM-overpass
GEN-SMT-0013,PLTPB Sibayak,PLTPB Sibayak,PLTP,12.0,Sumatera Utara,Sumatra,existing,Pertamina Geothermal Energy;Dizamatra Powerindo,,3.2262088,98.5137747,way/333361524,geothermal,,OSM-overpass
GEN-SMT-0014,PLTU Sebalang,PLTU Sebalang,PLTU,200.0,Lampung,Sumatra,existing,PT PLN,,-5.5853215,105.3883594,way/337762452,coal,,OSM-overpass
GEN-SMT-0015,PLTU Teluk Sirih,PLTU Teluk Sirih,PLTU,224.0,Sumatera Barat,Sumatra,existing,,,-1.0766611,100.3715873,way/450924241,coal,,OSM-overpass
GEN-SMT-0016,PLTD/G Teluk Lembu,PLTD/G Teluk Lembu,PLTD,21.6,Riau,Sumatra,existing,PT. Riau Power Satu,combustion,0.5489611,101.462182,way/465906682,gas,,OSM-overpass
GEN-SMT-0017,PLTD Lueng Bata Banda Aceh,Lueng Bata Power Plant,Unknown,,Aceh,Sumatra,existing,,,5.5387773,95.3412835,way/468197327,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0018,PLTG Pauh Limo,PLTG Pauh Limo,PLTG,49.0,Sumatera Barat,Sumatra,existing,,combustion,-0.9343952,100.433046,way/473523398,gas,,OSM-overpass
GEN-SMT-0019,PLTU Paluh Kurau,PLTU Paluh Kurau,PLTU,300.0,Sumatera Utara,Sumatra,existing,,,3.7804962,98.6347121,way/504810894,coal,,OSM-overpass
GEN-SMT-0020,PLTA Renun,PLTA Renun,PLTA,,Sumatera Utara,Sumatra,existing,,,2.7944567,98.4975714,way/511391884,,NO_CAPACITY,OSM-overpass
GEN-SMT-0021,PLTGU Gunung Megang,PLTGU Gunung Megang,PLTGU,150.0,Sumatera Selatan,Sumatra,existing,,,-3.506523,103.7992502,way/527695410,gas,,OSM-overpass
GEN-SMT-0022,PLTA Musi,PLTA Musi,PLTA,210.0,Bengkulu,Sumatra,existing,,run-of-the-river,-3.5930447,102.4835863,way/528512460,hydro,,OSM-overpass
GEN-SMT-0023,PLTU Tenayan Raya,PLTU Tenayan Raya,PLTU,220.0,Riau,Sumatra,existing,,combustion,0.5636818,101.5233476,way/528916594,coal,,OSM-overpass
GEN-SMT-0024,PLTP Ulubelu,PLTP Ulubelu,PLTP,220.0,Lampung,Sumatra,existing,PLN,,-5.3076656,104.5748938,way/531143189,geothermal,,OSM-overpass
GEN-SMT-0025,PLTMG Arun I,PLTMG Arun I,PLTMG,184.0,Aceh,Sumatra,existing,PT Pembangkitan Jawa Bali,,5.2162499,97.0899019,way/542904306,gas,,OSM-overpass
GEN-SMT-0026,PLTU Air Anyir,PLTU Air Anyir,PLTU,60.0,Kepulauan Bangka Belitung,Babel,existing,PT PLN Sektor Pembangkitan Bangka Belitung,combustion,-2.0775568,106.1496436,way/543959909,coal,,OSM-overpass
