id,name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-JMB-0177,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.1851776,107.4449216,way/1376673992,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0178,(unnamed),PLTP,,Jawa Barat,Jamali,existing,,,-7.17159,107.4191076,way/1376687177,geothermal,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0179,(unnamed),PLTA,,Jawa Barat,Jamali,existing,,,-7.1997152,107.2323051,way/1377712181,hydro,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0180,(unnamed),PLTA,,Jawa Barat,Jamali,existing,,,-7.2016911,107.2521052,way/1377712190,hydro,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0181,PLTA Timo,PLTA,12.0,Jawa Tengah,Jamali,existing,Indonesia Power,run-of-the-river,-7.215805,110.5014538,way/1412768767,hydro,,OSM-overpass
GEN-JMB-0182,PLTMH Cileunca,PLTMH,1.0,Jawa Barat,Jamali,existing,,water-storage,-7.1846921,107.5469605,way/1415973962,hydro,,OSM-overpass
GEN-JMB-0183,PLTA Lamajan,PLTA,19.56,Jawa Barat,Jamali,existing,Indonesia Power,water-storage,-7.1412395,107.5536895,way/1416014231,hydro,,OSM-overpass
GEN-JMB-0184,PLTA Cikalong,PLTA,19.2,Jawa Barat,Jamali,existing,Indonesia Power,water-storage,-7.1150215,107.5499379,way/1416015950,hydro,,OSM-overpass
GEN-JMB-0185,PLTS Bali Timur,PLTS,25.0,Bali,Jamali,existing,Medco Solar Bali Timur,photovoltaic,-8.2185336,115.5085825,way/1416902041,solar,,OSM-overpass
GEN-JMB-0186,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7309658,115.5313508,way/1448296632,wind,,OSM-overpass
GEN-JMB-0187,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7305379,115.529883,way/1448296633,wind,,OSM-overpass
GEN-JMB-0188,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7292583,115.5360553,way/1448296634,wind,,OSM-overpass
GEN-JMB-0189,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.731379,115.5364972,way/1448296635,wind,,OSM-overpass
GEN-JMB-0190,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7292417,115.5299301,way/1448296636,wind,,OSM-overpass
GEN-JMB-0191,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7293502,115.5314767,way/1448296637,wind,,OSM-overpass
GEN-JMB-0192,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7360902,115.5256361,way/1448296638,wind,,OSM-overpass
GEN-JMB-0193,PLTB Nusa Penida,PLTB,0.72,Bali,Jamali,existing,,wind_turbine,-8.7347831,115.5274558,way/1448296639,wind,,OSM-overpass
GEN-JMB-0194,(unnamed),PLTSa,,Jawa Barat,Jamali,existing,,combustion,-6.5172237,106.889707,way/1465274116,waste,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-JMB-0195,PLTS Citeureup,PLTS,32.5,Jawa Barat,Jamali,existing,,,-6.5010137,106.9427969,way/1486879043,solar,,OSM-overpass
GEN-JMB-0196,(unnamed),PLTA,,Jawa Barat,Jamali,existing,,,-6.7004968,107.3703759,way/1509743156,hydro,NO_NAME;NO_CAPACITY,OSM-overpass
