id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-KALIMANTAN-P-0041,Kotabaru,PLTU,14.0,Kalimantan Selatan,kalimantan,Construction,2030,2030,,PLN,Tabel A12.10,751,-2.978956,115.476947,province_centroid,low
RUPTL-KALIMANTAN-P-0042,Lisdes Kalsel,PLTS,4.9,Kalimantan Selatan,kalimantan,Planned,2026,2026,,PLN,Tabel A12.10,751,-3.134575,115.299980,province_centroid,low
RUPTL-KALIMANTAN-P-0043,Lisdes Kalsel,PLTS,0.6,Kalimantan Selatan,kalimantan,Planned,2027,2027,,PLN,Tabel A12.10,751,-3.057697,115.188323,province_centroid,low
RUPTL-KALIMANTAN-P-0044,Isolated Kalsel,PLTS,0.8,Kalimantan Selatan,kalimantan,Planned,2030,2030,,IPP,Tabel A12.10,751,-3.016918,115.508702,province_centroid,low
RUPTL-KALIMANTAN-P-0045,Kalseltengtimra- 5 (PLTS+BESS),PLTS,160.0,Kalimantan Tengah,kalimantan,Planned,,,,IPP,Tabel A13.11,765,-1.574860,113.319588,province_centroid,low
RUPTL-KALIMANTAN-P-0046,Kalseltengtimra- 5 (PLTS+BESS),PLTS,100.0,Kalimantan Tengah,kalimantan,Planned,,,,IPP,Tabel A13.11,765,-1.526603,113.386699,province_centroid,low
RUPTL-KALIMANTAN-P-0047,Kalselteng 3,PLTU,200.0,Kalimantan Tengah,kalimantan,Committed,2029,2029,,IPP,Tabel A13.11,765,-1.373302,113.567473,gazetteer_generator:GEN-KLM-0032,high
RUPTL-KALIMANTAN-P-0048,Kalimantan (Kuota) Tersebar2),PLTBg,3.8,Kalimantan Tengah,kalimantan,Planned,2029,2029,,IPP,Tabel A13.11,765,-1.754598,113.562079,province_centroid,low
RUPTL-KALIMANTAN-P-0049,Kalimantan-2,PLTG,100.0,Kalimantan Tengah,kalimantan,Planned,2029,2029,,SH-PLN,Tabel A13.11,765,-1.696264,113.550669,province_centroid,low
RUPTL-KALIMANTAN-P-0050,Sampit,PLTU,50.0,Kalimantan Tengah,kalimantan,Construction,2030,2030,,PLN,Tabel A13.11,765,-2.481698,112.920845,gazetteer_substation:GI-KLM-0062,medium
RUPTL-KALIMANTAN-P-0051,MT Hybrid Kalselteng 4,PLTS,40.0,Kalimantan Tengah,kalimantan,Planned,2032,2032,,IPP,Tabel A13.11,765,-1.373302,113.567473,gazetteer_generator:GEN-KLM-0032,high
RUPTL-KALIMANTAN-P-0052,MT Hybrid Kalselteng 4,PLTS,25.0,Kalimantan Tengah,kalimantan,Planned,2032,2032,,IPP,Tabel A13.11,765,-1.373302,113.567473,gazetteer_generator:GEN-KLM-0032,high
RUPTL-KALIMANTAN-P-0053,MT Hybrid Kalselteng 4,PLTU,200.0,Kalimantan Tengah,kalimantan,Planned,2032,2032,,IPP,Tabel A13.11,765,-1.373302,113.567473,gazetteer_generator:GEN-KLM-0032,high
RUPTL-KALIMANTAN-P-0054,Muara Juloi,PLTA,3401.0,Kalimantan Tengah,kalimantan,Planned,2032,2032 2033,,SH-PLN,Tabel A13.11,765,-0.867552,114.865896,gazetteer_substation:GI-KLM-0050,medium
RUPTL-KALIMANTAN-P-0055,Lisdes Kalteng,PLTS,0.6,Kalimantan Tengah,kalimantan,Planned,2026,2026,,PLN,Tabel A13.11,765,-2.824546,114.211797,gazetteer_generator:GEN-KLM-0041,high
RUPTL-KALIMANTAN-P-0056,Lisdes Kalteng,PLTS,13.8,Kalimantan Tengah,kalimantan,Planned,2027,2027,,PLN,Tabel A13.11,765,-2.824546,114.211797,gazetteer_generator:GEN-KLM-0041,high
RUPTL-KALIMANTAN-P-0057,Dedieselisasi,PLTS,0.8,Kalimantan Tengah,kalimantan,Planned,2027,2027,,IPP,Tabel A13.11,765,-1.897838,113.182754,province_centroid,low
RUPTL-KALIMANTAN-P-0058,Isolated Kalteng,PLTS,0.2,Kalimantan Tengah,kalimantan,Planned,2030,2030,,IPP,Tabel A13.11,765,-2.824546,114.211797,gazetteer_generator:GEN-KLM-0041,high
RUPTL-KALIMANTAN-P-0059,Kalimantan,PLTGU,400.0,Kalimantan Timur,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A14.9,778,0.347436,116.243924,province_centroid,low
RUPTL-KALIMANTAN-P-0060,IKN,PLTS,50.0,Kalimantan Timur,kalimantan,Construction,2025,2025,,IPP,Tabel A14.14,781,-0.989802,116.638296,gazetteer_generator:GEN-KLM-0052,high
RUPTL-KALIMANTAN-P-0061,Kaltim Peaker 2,PLTG,100.0,Kalimantan Timur,kalimantan,Planned,2026,2026,,SH-PLN,Tabel A14.14,781,-1.170085,116.788460,gazetteer_generator:GEN-KLM-0011,high
RUPTL-KALIMANTAN-P-0062,Kaltim-1,PLTGU,250.0,Kalimantan Timur,kalimantan,Planned,2026,2026,,SH-PLN,Tabel A14.14,781,-1.170085,116.788460,gazetteer_generator:GEN-KLM-0011,high
RUPTL-KALIMANTAN-P-0063,Kaltara/ Kaltimra***),PLTGU,100.0,Kalimantan Timur,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A14.14,781,0.413365,116.442302,province_centroid,low
RUPTL-KALIMANTAN-P-0064,Kaltim Add on Blok 2,PLTGU,80.0,Kalimantan Timur,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A14.14,781,0.489301,116.445464,province_centroid,low
RUPTL-KALIMANTAN-P-0065,Kalseltengtimra-1 (PLTS+BESS),PLTS,80.0,Kalimantan Timur,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A14.14,781,0.454351,116.603179,province_centroid,low
RUPTL-KALIMANTAN-P-0066,Kalseltengtimra-1 (PLTS+BESS),PLTS,50.0,Kalimantan Timur,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A14.14,781,0.593618,116.488580,province_centroid,low
RUPTL-KALIMANTAN-P-0067,Kalseltengtimra-2 (PLTS+BESS),PLTS,240.0,Kalimantan Timur,kalimantan,Planned,,,,IPP,,782,0.433009,116.260310,province_centroid,low
RUPTL-KALIMANTAN-P-0068,Kalseltengtimra-2 (PLTS+BESS),PLTS,150.0,Kalimantan Timur,kalimantan,Planned,,,,IPP,,782,0.617413,116.506726,province_centroid,low
RUPTL-KALIMANTAN-P-0069,Kalseltengtimra (Kuota) Tersebar,PLTS,15.0,Kalimantan Timur,kalimantan,Planned,2029,2029,,IPP,,782,0.333517,116.436343,province_centroid,low
RUPTL-KALIMANTAN-P-0070,Kalseltengtimra (Kuota) Tersebar,PLTM,0.15,Kalimantan Timur,kalimantan,Planned,2029,2029,,IPP,,782,0.447518,116.342927,province_centroid,low
RUPTL-KALIMANTAN-P-0071,Add-On Kaltara/ Kaltimra***),PLTGU,50.0,Kalimantan Timur,kalimantan,Planned,,,,SH-PLN,,782,0.471231,116.196952,province_centroid,low
RUPTL-KALIMANTAN-P-0072,Kalimantan (Kuota) Tersebar,?,10.0,Kalimantan Timur,kalimantan,Planned,2030,2030,,IPP,,782,0.650412,116.271431,province_centroid,low
RUPTL-KALIMANTAN-P-0073,Kalseltengtimra (Kuota) Tersebar,PLTS,30.0,Kalimantan Timur,kalimantan,Planned,2030,2030,,IPP,,782,0.465417,116.565142,province_centroid,low
RUPTL-KALIMANTAN-P-0074,Kalseltengtimra-4 (PLTS+BESS),PLTS,40.0,Kalimantan Timur,kalimantan,Planned,,,,IPP,,782,0.523359,116.591020,province_centroid,low
RUPTL-KALIMANTAN-P-0075,Kalseltengtimra-4 (PLTS+BESS),PLTS,25.0,Kalimantan Timur,kalimantan,Planned,,,,IPP,,782,0.644316,116.474916,province_centroid,low
RUPTL-KALIMANTAN-P-0076,Kelai,PLTA,45.0,Kalimantan Timur,kalimantan,Planned,2032,2032,,SH-PLN,,782,0.466503,116.504272,province_centroid,low
RUPTL-KALIMANTAN-P-0077,Tabang 1,PLTA,101.0,Kalimantan Timur,kalimantan,Planned,2032,2032,,SH-PLN,,782,0.492367,116.325125,province_centroid,low
RUPTL-KALIMANTAN-P-0078,Tanah Grogot**,PLTU,14.0,Kalimantan Timur,kalimantan,Committed,2030,2030,,IPP,,782,-1.898819,116.165644,gazetteer_substation:GI-KLM-0091,medium
