id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SMT-0256,Sumatra,150 kV,150.0,150,17.231,way/928220392,150000,OSM-overpass
TRM-SMT-0257,Sumatra,150 kV,150.0,150,0.05,way/928220393,150000,OSM-overpass
TRM-SMT-0258,Sumatra,150 kV,150.0,150,0.04,way/928220394,150000,OSM-overpass
TRM-SMT-0259,Sumatra,150 kV,150.0,150,14.529,way/928220395,150000,OSM-overpass
TRM-SMT-0260,Sumatra,150 kV,150.0,150,16.084,way/928475181,150000,OSM-overpass
TRM-SMT-0261,Sumatra,150 kV,150.0,150,50.261,way/928475182,150000,OSM-overpass
TRM-SMT-0262,Sumatra,150 kV,150.0,150,43.86,way/928475184,150000,OSM-overpass
TRM-SMT-0263,Babel,150 kV,150.0,150,64.9,way/928791946,150000,OSM-overpass
TRM-SMT-0264,Batam,150 kV,150.0,150,37.972,way/928863485,150000,OSM-overpass
TRM-SMT-0265,Sumatra,275 kV,275.0,275,62.4,way/928928124,275000,OSM-overpass
TRM-SMT-0266,Sumatra,275 kV,275.0,275,32.055,way/928928125,275000,OSM-overpass
TRM-SMT-0267,Sumatra,150 kV,150.0,150,84.813,way/928928126,150000,OSM-overpass
TRM-SMT-0268,Sumatra,275 kV,275.0,275,125.754,way/928928127,275000,OSM-overpass
TRM-SMT-0269,Sumatra,275 kV,275.0,275,25.908,way/928928128,275000,OSM-overpass
TRM-SMT-0270,Sumatra,150 kV,150.0,150,0.569,way/928928129,150000,OSM-overpass
TRM-SMT-0271,Sumatra,150 kV,150.0,150,33.581,way/928928130,150000,OSM-overpass
TRM-SMT-0272,Sumatra,275 kV,275.0,275,276.866,way/928928131,275000,OSM-overpass
TRM-SMT-0273,Sumatra,150 kV,150.0,150,0.505,way/928928134,150000,OSM-overpass
TRM-SMT-0274,Sumatra,150 kV,150.0,150,63.253,way/928928135,150000,OSM-overpass
TRM-SMT-0275,Sumatra,150 kV,150.0,150,31.477,way/928928137,150000,OSM-overpass
TRM-SMT-0276,Sumatra,150 kV,150.0,150,0.408,way/928928138,150000,OSM-overpass
TRM-SMT-0277,Sumatra,150 kV,150.0,150,24.119,way/930242869,150000,OSM-overpass
TRM-SMT-0278,Sumatra,150 kV,150.0,150,2.477,way/930242872,150000,OSM-overpass
TRM-SMT-0279,Sumatra,150 kV,150.0,150,73.197,way/930242873,150000,OSM-overpass
TRM-SMT-0280,Sumatra,150 kV,150.0,150,34.059,way/930242876,150000,OSM-overpass
TRM-SMT-0281,Sumatra,150 kV,150.0,150,1.477,way/930242877,150000,OSM-overpass
TRM-SMT-0282,Sumatra,150 kV,150.0,150,16.908,way/930242878,150000,OSM-overpass
TRM-SMT-0283,Sumatra,150 kV,150.0,150,24.626,way/930242880,150000,OSM-overpass
TRM-SMT-0284,Sumatra,150 kV,150.0,150,11.197,way/930242881,150000,OSM-overpass
TRM-SMT-0285,Sumatra,150 kV,150.0,150,0.357,way/930242882,150000,OSM-overpass
TRM-SMT-0286,Sumatra,150 kV,150.0,150,0.323,way/930242883,150000,OSM-overpass
TRM-SMT-0287,Sumatra,150 kV,150.0,150,92.915,way/930242885,150000,OSM-overpass
TRM-SMT-0288,Sumatra,150 kV,150.0,150,21.712,way/930242890,150000,OSM-overpass
TRM-SMT-0289,Sumatra,150 kV,150.0,150,0.846,way/930242892,150000,OSM-overpass
TRM-SMT-0290,Sumatra,150 kV,150.0,150,41.83,way/930242893,150000,OSM-overpass
TRM-SMT-0291,Sumatra,150 kV,150.0,150,14.87,way/930242895,150000,OSM-overpass
TRM-SMT-0292,Sumatra,150 kV,150.0,150,37.012,way/930242897,150000,OSM-overpass
TRM-SMT-0293,Sumatra,150 kV,150.0,150,12.284,way/930242900,150000,OSM-overpass
TRM-SMT-0294,Sumatra,150 kV,150.0,150,5.495,way/930242901,150000,OSM-overpass
TRM-SMT-0295,Sumatra,150 kV,150.0,150,21.905,way/930242902,150000,OSM-overpass
TRM-SMT-0296,Sumatra,150 kV,150.0,150,5.328,way/930242903,150000,OSM-overpass
TRM-SMT-0297,Sumatra,150 kV,150.0,150,27.498,way/930242904,150000,OSM-overpass
TRM-SMT-0298,Sumatra,150 kV,150.0,150,75.061,way/930242905,150000,OSM-overpass
TRM-SMT-0299,Sumatra,150 kV,150.0,150,53.714,way/930719088,150000,OSM-overpass
TRM-SMT-0300,Sumatra,150 kV,150.0,150,22.055,way/930719089,150000,OSM-overpass
TRM-SMT-0301,Sumatra,150 kV,150.0,150,8.381,way/930719091,150000,OSM-overpass
TRM-SMT-0302,Sumatra,150 kV,150.0,150,134.448,way/930719093,150000,OSM-overpass
TRM-SMT-0303,Sumatra,275 kV,275.0,275,52.73,way/930719094,275000,OSM-overpass
TRM-SMT-0304,Sumatra,275 kV,275.0,275,78.18,way/930719095,275000,OSM-overpass
TRM-SMT-0305,Sumatra,150 kV,150.0,150,0.036,way/931931109,150000,OSM-overpass
TRM-SMT-0306,Sumatra,150 kV,150.0,150,3.603,way/931931111,150000,OSM-overpass
TRM-SMT-0307,Sumatra,150 kV,150.0,150,0.046,way/931931115,150000,OSM-overpass
TRM-SMT-0308,Sumatra,150 kV,150.0,150,64.412,way/931931120,150000,OSM-overpass
TRM-SMT-0309,Sumatra,150 kV,150.0,150,60.367,way/931931122,150000,OSM-overpass
TRM-SMT-0310,Sumatra,150 kV,150.0,150,0.871,way/931931131,150000,OSM-overpass
TRM-SMT-0311,Sumatra,150 kV,150.0,150,19.178,way/931931132,150000,OSM-overpass
TRM-SMT-0312,Sumatra,150 kV,150.0,150,16.678,way/931931136,150000,OSM-overpass
TRM-SMT-0313,Sumatra,150 kV,150.0,150,18.259,way/931931137,150000,OSM-overpass
TRM-SMT-0314,Sumatra,150 kV,150.0,150,0.111,way/931931139,150000,OSM-overpass
TRM-SMT-0315,Sumatra,150 kV,150.0,150,9.167,way/931931140,150000,OSM-overpass
TRM-SMT-0316,Sumatra,150 kV,150.0,150,42.22,way/931931141,150000,OSM-overpass
TRM-SMT-0317,Sumatra,150 kV,150.0,150,39.167,way/931931142,150000,OSM-overpass
TRM-SMT-0318,Sumatra,150 kV,150.0,150,26.822,way/931931143,150000,OSM-overpass
TRM-SMT-0319,Sumatra,150 kV,150.0,150,1.345,way/931931144,150000,OSM-overpass
TRM-SMT-0320,Sumatra,150 kV,150.0,150,1.413,way/931931145,150000,OSM-overpass
TRM-SMT-0321,Sumatra,150 kV,150.0,150,91.684,way/931931146,150000,OSM-overpass
TRM-SMT-0322,Sumatra,150 kV,150.0,150,15.07,way/931931147,150000,OSM-overpass
TRM-SMT-0323,Sumatra,150 kV,150.0,150,31.97,way/931931148,150000,OSM-overpass
TRM-SMT-0324,Sumatra,150 kV,150.0,150,57.578,way/931931149,150000,OSM-overpass
TRM-SMT-0325,Sumatra,150 kV,150.0,150,34.312,way/931931150,150000,OSM-overpass
