id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-KLM-0312,Kalselteng,150 kV,150.0,150,0.124,way/1411099511,150000,OSM-overpass
TRM-KLM-0313,Kalselteng,150 kV,150.0,150,0.125,way/1411099512,150000,OSM-overpass
TRM-KLM-0314,Kalselteng,150 kV,150.0,150,0.027,way/1411100169,150000,OSM-overpass
TRM-KLM-0315,Kalselteng,150 kV,150.0,150,0.026,way/1411100170,150000,OSM-overpass
TRM-KLM-0316,Kalselteng,150 kV,150.0,150,0.031,way/1411100171,150000,OSM-overpass
TRM-KLM-0317,Kalselteng,150 kV,150.0,150,0.026,way/1411100172,150000,OSM-overpass
TRM-KLM-0318,Mahakam,150 kV,150.0,150,0.04,way/1412506041,150000,OSM-overpass
TRM-KLM-0319,Mahakam,150 kV,150.0,150,0.04,way/1412506042,150000,OSM-overpass
TRM-KLM-0320,Mahakam,150 kV,150.0,150,0.045,way/1413522046,150000,OSM-overpass
TRM-KLM-0321,Mahakam,150 kV,150.0,150,0.044,way/1413522047,150000,OSM-overpass
TRM-KLM-0322,Kalselteng,150 kV,150.0,150,7.232,way/1416911980,150000,OSM-overpass
TRM-KLM-0323,Mahakam,150 kV,150.0,150,0.173,way/1416911981,150000,OSM-overpass
TRM-KLM-0324,Mahakam,150 kV,150.0,150,0.05,way/1416911982,150000,OSM-overpass
TRM-KLM-0325,Mahakam,150 kV,150.0,150,0.052,way/1416911983,150000,OSM-overpass
TRM-KLM-0326,Kalselteng,150 kV,150.0,150,0.024,way/1416911984,150000,OSM-overpass
TRM-KLM-0327,Kalselteng,150 kV,150.0,150,0.023,way/1416911985,150000,OSM-overpass
TRM-KLM-0328,Kalselteng,150 kV,150.0,150,2.362,way/1416911986,150000,OSM-overpass
TRM-KLM-0329,Kalselteng,150 kV,150.0,150,38.313,way/1416911987,150000,OSM-overpass
TRM-KLM-0330,Khatulistiwa,150 kV,150.0,150,70.719,way/1428533033,150000,OSM-overpass
TRM-KLM-0331,Khatulistiwa,150 kV,150.0,150,0.321,way/1432434026,150000,OSM-overpass
TRM-KLM-0332,Khatulistiwa,150 kV,150.0,150,0.065,way/1444049309,150000,OSM-overpass
