ruptl_id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,classification,baseline_id,baseline_name,source_page,source_table
RUPTL-SULAWESI-GI-0066,Andowia (sisi 150 kV GITET Andowia),150,Extension,2.0,2027,Planned,Sulawesi Tenggara,NEW_BUILD,,,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0067,Pomalaa Switching,150,New,6.0,2029,Planned,Sulawesi Tenggara,NEW_BUILD,,,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0068,Kendari (sisi 150 kV GITET Kendari),150,Extension,2.0,2030,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0090,Kendari 150 kV,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0069,Andowia (sisi 150 kV GITET Andowia),150,Extension,2.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0070,Bungku (sisi 150 kV GITET Bungku),150,Extension,2.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0071,GITET Andowia,275/150,Extension,252.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0072,Kendari (sisi 150 kV GITET Kendari),150,Extension,2.0,2031,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0090,Kendari 150 kV,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0073,Batu Putih,150,New,6.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1035,Tabel C5.12
RUPTL-SULAWESI-GI-0074,Andowia (sisi 150 kV GITET Andowia),150,New,4.0,2025,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0075,Unaaha,150/20,Extension,30.0,2025,Committed,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0093,Unaaha,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0076,Kolaka,150/20,Extension,30.0,2025,Committed,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0091,Kolaka,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0077,GITET Andowia,275/150,New,250.0,2026,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0078,GITET Kendari,275/150,New,250.0,2026,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0079,Andowia (sisi 150 kV GITET Andowia),150,Extension,2.0,2027,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0080,Kendari (sisi 150 kV GITET Kendari),150,Extension,2.0,2027,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0090,Kendari 150 kV,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0081,Andowia (sisi 150 kV GITET Andowia),150,Extension,2.0,2027,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0082,Kolaka Smelter,150,Extension,202.0,2027,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0083,Kolaka Smelter,150,Extension,302.0,2027,Planned,Sulawesi Tenggara,NEW_BUILD,,,1045,Tabel C5.19
RUPTL-SULAWESI-GI-0084,Andowia (Sisi 150 kV GITET Andowia),150,Extension,302.0,2027,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0085,Bau Bau,150/20,Extension,60.0,2028,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0086,Andolo,150,Extension,3.0,2028,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0096,Andolo,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0087,Lasusua,150,Extension,2.0,2028,Committed,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0092,Lasusua,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0088,Raha,150,Extension,4.0,2028,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0099,Raha,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0089,GITET Andowia,275/150,Extension,250.0,2028,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0090,GITET Kendari,275/150,Extension,250.0,2028,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0091,Kolaka Smelter,150,Extension,2.0,2029,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0092,GITET Kendari,275,Extension,2.0,2029,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0093,GITET Kolaka Smelter,275/150,New,252.0,2029,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0094,Pomalaa Switching,150,New,6.0,2029,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0095,Kendari (sisi 150 kV GITET Kendari),150,Extension,2.0,2030,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0090,Kendari 150 kV,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0096,Andowia (sisi 150 kV GITET Andowia),150,Extension,2.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0097,GITET Andowia,275/150,Extension,252.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0098,Kendari (sisi 150 kV GITET Kendari),150,Extension,2.0,2031,Planned,Sulawesi Tenggara,EXISTING_EXT,GI-SLW-0090,Kendari 150 kV,1046,Tabel C5.22
RUPTL-SULAWESI-GI-0099,Batu Putih,150,New,6.0,2031,Planned,Sulawesi Tenggara,NEW_BUILD,,,1046,Tabel C5.22
