id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-JMB-0069,GEN-JMB-0069,,PLTGU Priok,PLTGU,2720.0,DKI Jakarta,Jamali,existing,Utility,Indonesia Power,combustion,-6.1084173,106.8683823,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,2720.0,,PLTGU,,Utility,,,,,,way/662173157,gas,OSM-overpass,
GEN-JMB-0070,GEN-JMB-0070,,PLTU Banten Serang,PLTU,625.0,Banten,Jamali,existing,Utility,PT Lestari Banten Energi,combustion,-5.8808614,106.044809,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,625.0,,PLTU,,Utility,,,,,,way/694589974,coal,OSM-overpass,
GEN-JMB-0071,GEN-JMB-0071,,PLTGU Cilegon,PLTGU,740.0,Banten,Jamali,existing,Utility,Indonesia Power,combustion,-5.930147,106.1076526,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,740.0,,PLTGU,,Utility,,,,,,way/694710543,gas,OSM-overpass,
GEN-JMB-0072,GEN-JMB-0072,,PLTGU Jababeka,PLTGU,755.0,Jawa Barat,Jamali,existing,Utility,PT Cikarang Listrindo Power Company,combustion,-6.2908692,107.1214088,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,755.0,,PLTGU,,Utility,,,,,,way/694792625,gas,OSM-overpass,
GEN-JMB-0073,GEN-JMB-0073,,PLTG JIIPE Gresik,PLTG,23.0,Jawa Timur,Jamali,existing,Captive,Berkah Kawasan Manyar Sejahtera,combustion,-7.089401,112.6069291,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,23.0,,PLTG,,Captive,,,,,,way/695654438,gas,OSM-overpass,
GEN-JMB-0074,GEN-JMB-0074,,PLTS Cirata,PLTS,1.0,Jawa Barat,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,photovoltaic,-6.6739464,107.3544486,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1.0,,PLTS,,Utility,,,,,,way/704205371,solar,OSM-overpass,
GEN-JMB-0075,GEN-JMB-0075,,PLTGU Gresik,PLTGU,1924.0,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-7.1645136,112.6641738,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1924.0,,PLTGU,,Utility,,,,,,way/705296597,gas,OSM-overpass,
GEN-JMB-0076,GEN-JMB-0076,,PLTU Tanjung Awar-Awar,PLTU,700.0,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,combustion,-6.8089608,111.996493,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,700.0,,PLTU,,Utility,,,,,,way/706118077,coal,OSM-overpass,
GEN-JMB-0077,GEN-JMB-0077,,PLTG Tata,PLTG,30.0,Jawa Barat,Jamali,existing,Utility,Tata Jabar,,-6.4364649,107.4533576,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,30.0,,PLTG,,Utility,,,,,,way/708321376,gas,OSM-overpass,
GEN-JMB-0080,GEN-JMB-0080,,PLTS Kubu Karangasem Bali,PLTS,1.0,Bali,Jamali,existing,Utility,PLN,photovoltaic,-8.2549683,115.5646793,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1.0,,PLTS,,Utility,,,,,,way/797070548,solar,OSM-overpass,
GEN-JMB-0081,GEN-JMB-0081,,PLTA Cirata,PLTA,1008.0,Jawa Barat,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,water-storage,-6.6828539,107.3483108,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1008.0,,PLTA,,Utility,,,,,,way/797077394,hydro,OSM-overpass,
GEN-JMB-0082,GEN-JMB-0082,,PLTS Kayubihi Bangli,PLTS,1.0,Bali,Jamali,existing,Utility,PLN,photovoltaic,-8.3542304,115.366877,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1.0,,PLTS,,Utility,,,,,,way/797745630,solar,OSM-overpass,
GEN-JMB-0083,GEN-JMB-0083,,PLTU Batang,PLTU,2000.0,Jawa Tengah,Jamali,existing,Utility,PT Bhimasema Power Indonesia,combustion,-6.9019219,109.8056338,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,2000.0,,PLTU,,Utility,,,,,,way/804341585,coal,OSM-overpass,
GEN-JMB-0085,GEN-JMB-0085,,PLTMH Cibatarua,PLTMH,5.0,Jawa Barat,Jamali,existing,Utility,,,-7.4204039,107.6868564,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,5.0,,PLTMH,,Utility,,,,,,way/853225728,hydro,OSM-overpass,
GEN-JMB-0087,GEN-JMB-0087,,PLTA Rajamandala,PLTA,46.6,Jawa Barat,Jamali,existing,Utility,PT Rajamandala Electric Power,,-6.8565222,107.3408165,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,46.6,,PLTA,,Utility,,,,,,way/894351121,hydro,OSM-overpass,
GEN-JMB-0088,GEN-JMB-0088,,PLTG MM-2100,PLTG,109.0,Jawa Barat,Jamali,existing,Utility,PT Cikarang Listrindo Power Company,combustion,-6.3100866,107.1143925,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,109.0,,PLTG,,Utility,,,,,,way/894351124,gas,OSM-overpass,
GEN-JMB-0089,GEN-JMB-0089,,PLTA Sengguruh,PLTA,28.46,Jawa Timur,Jamali,existing,Utility,PT Pembangkitan Jawa Bali,,-8.1837248,112.5491911,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,28.46,,PLTA,,Utility,,,,,,way/894351126,hydro,OSM-overpass,
GEN-JMB-0090,GEN-JMB-0090,,PLTA Jelok,PLTA,20.48,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,,-7.2440749,110.4812721,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,20.48,,PLTA,,Utility,,,,,,way/894351127,hydro,OSM-overpass,
GEN-JMB-0091,GEN-JMB-0091,,PLTU Cirebon Unit 2,PLTU,660.0,Jawa Barat,Jamali,existing,Utility,PT Cirebon Electric Power,combustion,-6.7748962,108.630605,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,660.0,,PLTU,,Utility,,,,,,way/894351130,coal,OSM-overpass,
GEN-JMB-0092,GEN-JMB-0092,,PLTA Curugluhur,PLTA,,Jawa Barat,Jamali,existing,Utility,,,-7.234321,106.8160639,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,,,PLTA,,Utility,,,,,,way/894351131,hydro,OSM-overpass,NO_CAPACITY
