id,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-JMB-1267,150 kV,150.0,150,0.709,way/1074225508,150000,OSM-overpass
TRM-JMB-1268,150 kV,150.0,150,31.758,way/1075956811,150000,OSM-overpass
TRM-JMB-1269,150 kV,150.0,150,5.722,way/1091663950,150000,OSM-overpass
TRM-JMB-1270,500 kV,500.0,500,0.096,way/1091885547,500000,OSM-overpass
TRM-JMB-1271,500 kV,500.0,500,0.142,way/1091885548,500000,OSM-overpass
TRM-JMB-1272,500 kV,500.0,500,0.138,way/1091885549,500000,OSM-overpass
TRM-JMB-1273,500 kV,500.0,500,0.098,way/1091885550,500000,OSM-overpass
TRM-JMB-1274,150 kV,150.0,150,6.427,way/1093231719,150000,OSM-overpass
TRM-JMB-1275,150 kV,150.0,150,11.313,way/1093231720,150000,OSM-overpass
TRM-JMB-1276,150 kV,150.0,150,0.237,way/1093288619,150000,OSM-overpass
TRM-JMB-1277,150 kV,150.0,150,8.56,way/1093295911,150000,OSM-overpass
TRM-JMB-1278,150 kV,150.0,150,15.35,way/1093298202,150000,OSM-overpass
TRM-JMB-1279,150 kV,150.0,150,33.299,way/1105099389,150000,OSM-overpass
TRM-JMB-1280,500 kV,500.0,500,44.874,way/1105099390,500000,OSM-overpass
TRM-JMB-1281,150 kV,150.0,150,0.034,way/1105099391,150000,OSM-overpass
TRM-JMB-1282,150 kV,150.0,150,0.034,way/1105099392,150000,OSM-overpass
TRM-JMB-1283,150 kV,150.0,150,0.035,way/1105099393,150000,OSM-overpass
TRM-JMB-1284,150 kV,150.0,150,0.034,way/1105099394,150000,OSM-overpass
TRM-JMB-1285,150 kV,150.0,150,2.079,way/1105099395,150000,OSM-overpass
TRM-JMB-1286,150 kV,150.0,150,3.361,way/1120762036,150000,OSM-overpass
TRM-JMB-1287,150 kV,150.0,150,2.916,way/1120762039,150000,OSM-overpass
TRM-JMB-1288,150 kV,150.0,150,12.159,way/1120762040,150000,OSM-overpass
TRM-JMB-1289,150 kV,150.0,150,21.45,way/1120933664,150000,OSM-overpass
TRM-JMB-1290,150 kV,150.0,150,7.58,way/1120933667,150000,OSM-overpass
TRM-JMB-1291,150 kV,150.0,150,3.781,way/1120933668,150000,OSM-overpass
TRM-JMB-1292,150 kV,150.0,150,1.01,way/1120933669,150000,OSM-overpass
TRM-JMB-1293,150 kV,150.0,150,0.04,way/1121010553,150000,OSM-overpass
TRM-JMB-1294,500 kV,500.0,500,0.111,way/1121010554,500000,OSM-overpass
TRM-JMB-1295,150 kV,150.0,150,0.039,way/1121010555,150000,OSM-overpass
TRM-JMB-1296,500 kV,500.0,500,0.119,way/1121010556,500000,OSM-overpass
TRM-JMB-1297,500 kV,500.0,500,0.147,way/1121010557,500000,OSM-overpass
TRM-JMB-1298,500 kV,500.0,500,0.141,way/1121010558,500000,OSM-overpass
TRM-JMB-1299,500 kV,500.0,500,0.107,way/1121010559,500000,OSM-overpass
TRM-JMB-1300,500 kV,500.0,500,0.14,way/1121010560,500000,OSM-overpass
TRM-JMB-1301,500 kV,500.0,500,0.147,way/1121010561,500000,OSM-overpass
TRM-JMB-1302,500 kV,500.0,500,0.113,way/1121010562,500000,OSM-overpass
TRM-JMB-1303,500 kV,500.0,500,0.142,way/1121010563,500000,OSM-overpass
TRM-JMB-1304,500 kV,500.0,500,0.149,way/1121010564,500000,OSM-overpass
TRM-JMB-1305,150 kV,150.0,150,0.049,way/1121012055,150000,OSM-overpass
TRM-JMB-1306,150 kV,150.0,150,0.046,way/1121012056,150000,OSM-overpass
TRM-JMB-1307,150 kV,150.0,150,0.048,way/1121012057,150000,OSM-overpass
TRM-JMB-1308,150 kV,150.0,150,0.049,way/1121012058,150000,OSM-overpass
