id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
RUPTL:RUPTL-KALIMANTAN-P-0011,,RUPTL-KALIMANTAN-P-0011,Khatulistiwa (Kuota) Tersebar,PLTM,16.0,Kalimantan Barat,,Planned,,,,-0.192914,111.256536,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,16.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0012,,RUPTL-KALIMANTAN-P-0012,Kalimantan (Kuota) Tersebar,?,7.5,Kalimantan Barat,,Planned,,,,-0.223267,111.634906,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,7.5,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0013,,RUPTL-KALIMANTAN-P-0013,Kalbar,PLTM,2.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.0,,PLTM,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0014,,RUPTL-KALIMANTAN-P-0014,Kalbar-2 (PLTS+BESS),PLTS,80.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,80.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0015,,RUPTL-KALIMANTAN-P-0015,Kalbar-2 (PLTS+BESS),PLTS,50.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0016,,RUPTL-KALIMANTAN-P-0016,Kalbar-3,PLTMG,50.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTMG,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0017,,RUPTL-KALIMANTAN-P-0017,Kalimantan (Kuota) Tersebar,?,17.0,Kalimantan Barat,,Planned,,,,-0.082357,111.542013,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,17.0,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0018,,RUPTL-KALIMANTAN-P-0018,Kalbar-2 (PLTS+BESS),PLTS,160.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,160.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0019,,RUPTL-KALIMANTAN-P-0019,Kalbar-2 (PLTS+BESS),PLTS,100.0,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTS,,,,,,,,,,
GEN-KLM-0022,GEN-KLM-0022,RUPTL-KALIMANTAN-P-0020,PLTU Parit Baru (FTP1),PLTU,100.0,Kalimantan Barat,Khatulistiwa,existing,Utility,Perusahaan Listrik Negara,combustion,0.0586762,109.2032589,PROBABLE_MATCH,0.80,"nama-stem sama ('parit baru ftp1'), jarak 0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,100.0,50.0,PLTU,PLTU,Utility,,true,false,,false,way/919274063,coal,OSM-overpass,
