id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-KALIMANTAN-T-0062,Tempadung — MMP,Tempadung,MMP,150,New,2,SUTT,6.0,2025,Construction,Kalimantan Timur,kalimantan,785,Tabel A14.16
RUPTL-KALIMANTAN-T-0063,Tanjung Redeb — Talisayan,Tanjung Redeb,Talisayan,150,New,2,SUTT,210.0,2025,Construction,Kalimantan Timur,kalimantan,785,Tabel A14.16
RUPTL-KALIMANTAN-T-0064,Talisayan — Maloy,Talisayan,Maloy,150,New,2,SUTT,234.0,2025,Construction,Kalimantan Timur,kalimantan,785,Tabel A14.16
RUPTL-KALIMANTAN-T-0065,Bontang Lestari (ex Bontang Koala) — Inc 2 Phi (PLTU Kaltim 2 (FTP 2) - Bontang),Bontang Lestari (ex Bontang Koala),Inc 2 Phi (PLTU Kaltim 2 (FTP 2) - Bontang),150,New,4,SUTT,10.0,2025,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0066,PLTS IKN — GIS 4 IKN KIPP / Sepaku,PLTS IKN,GIS 4 IKN KIPP / Sepaku,150,New,2,SKTT,26.0,2026,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0067,Tanah Grogot — Sei Durian,Tanah Grogot,Sei Durian,150,New,2,SUTT,140.0,2026,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0068,Muara Wahau — Sangatta,Muara Wahau,Sangatta,150,New,2,SUTT,256.0,2026,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0069,Samboja — Inc 2 Phi (Karangjoang- Harapan Baru),Samboja,Inc 2 Phi (Karangjoang- Harapan Baru),150,New,4,SUTT,8.0,2026,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0070,Sambutan — PLTGU Kaltim-1,Sambutan,PLTGU Kaltim-1,150,New,2,SUTT,30.0,2026,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0071,PLTGU Kaltim-1 — KFI,PLTGU Kaltim-1,KFI,150,New,2,SUTT,10.0,2026,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0072,Melak — Kotabangun,Melak,Kotabangun,150,New,2,SUTT,334.0,2027,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0073,Kuaro — Tx Kuaro,Kuaro,Tx Kuaro,150,New,2,SUTT,280.0,2027,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0074,Tx Kuaro — GIS 4 IKN KIPP / Sepaku,Tx Kuaro,GIS 4 IKN KIPP / Sepaku,150,New,2,SKTT,6.0,2027,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0075,Tenggarong / Bukit Biru — GI 1 K-IKN,Tenggarong / Bukit Biru,GI 1 K-IKN,150,New,2,SUTT,126.0,2027,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0076,Embalut — Tengkawang,Embalut,Tengkawang,150,,2,SUTT,32.0,2027,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0077,Tengkawang — Harapan Baru,Tengkawang,Harapan Baru,150,,2,SUTT,16.6,2027,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0078,GIS 4 IKN KIPP / Sepaku — GI 1 K-IKN,GIS 4 IKN KIPP / Sepaku,GI 1 K-IKN,150,New,2,SKTT,44.0,2027,Committed,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0079,Embalut — Bukit Biru,Embalut,Bukit Biru,150,,2,SUTT,40.0,2027,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0080,Kalseltengtimra -1 (PLTS+BESS) 50 MW — GI Eksisting / Baru Sistem Kalseltengtimra,Kalseltengtimra -1 (PLTS+BESS) 50 MW,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,2027,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0081,GI PLTGU Kaltim-1 — GI 150 kV Sisipan Sanga- sanga - Bukuan,GI PLTGU Kaltim-1,GI 150 kV Sisipan Sanga- sanga - Bukuan,150,New,2,SUTT,17.0,2027,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0082,Tanjung Redeb — PLTG / GU Kaltara / Kaltimra,Tanjung Redeb,PLTG / GU Kaltara / Kaltimra,150,New,2,SUTT,30.0,2027,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0083,PLTMG Bangkanai — Melak,PLTMG Bangkanai,Melak,150,New,2,SUTT,210.0,2028,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0084,Sepaso — Inc 2 phi (Sanggata- Maloy),Sepaso,Inc 2 phi (Sanggata- Maloy),150,New,4,SUTT,2.0,2028,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0085,BWP 9 — Inc 2 phi (Senipah-Muara Jawa),BWP 9,Inc 2 phi (Senipah-Muara Jawa),150,New,4,SUTT,1.0,2028,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0086,GI 1 K-IKN — GI 2 K-IKN,GI 1 K-IKN,GI 2 K-IKN,150,New,2,SUTT,21.6,2028,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0087,Kalseltengtimra -2 (PLTS+BESS) 150 MW — GI Eksisting / Baru Sistem Kalseltengtimra,Kalseltengtimra -2 (PLTS+BESS) 150 MW,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,,Planned,Kalimantan Timur,kalimantan,786,
RUPTL-KALIMANTAN-T-0088,Manggarsari — New Balikpapan,Manggarsari,New Balikpapan,150,,2,SUTT,24.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0089,New Balikpapan — Balikpapan (Eks. GIS Balikpapan),New Balikpapan,Balikpapan (Eks. GIS Balikpapan),150,New,2,SKTT,20.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0090,Samarinda (Ex.GIS) — New Samarinda,Samarinda (Ex.GIS),New Samarinda,150,New,2,SKTT,30.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0091,GIS 3 KIPP — GIS 4 IKN KIPP / Sepaku,GIS 3 KIPP,GIS 4 IKN KIPP / Sepaku,150,New,2,SKTT,7.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0092,GIS 3 KIPP — Tx 4,GIS 3 KIPP,Tx 4,150,New,2,SKTT,12.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0093,Tx 4 — GI 1 K-IKN,Tx 4,GI 1 K-IKN,150,New,2,SUTT,12.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0094,GIS 3 KIPP — PLTS IKN,GIS 3 KIPP,PLTS IKN,150,New,2,SKTT,20.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0095,PLTS Kalseltengtimra (Kuota) Tersebar 30 MW — GI Eksisting / Baru Sistem Kalseltengtimra,PLTS Kalseltengtimra (Kuota) Tersebar 30 MW,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,2030,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0096,Kalseltengtimra -4 (PLTS+BESS) 50 MW — GI Eksisting / Baru Sistem Kalseltengtimra,Kalseltengtimra -4 (PLTS+BESS) 50 MW,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0097,GITET Embalut — GITET IKN 1,GITET Embalut,GITET IKN 1,500,New,2,SUTET,150.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0098,GITET IKN 1 — GITET Balikpapan,GITET IKN 1,GITET Balikpapan,500,New,2,SUTET,150.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0099,Industri (Coastal Road) — Petung (Coastal Road),Industri (Coastal Road),Petung (Coastal Road),150,New,2,SUTT,90.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0100,New Balikpapan — Industri,New Balikpapan,Industri,150,,2,SUTT,22.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0101,GITET KFI — GITET Embalut,GITET KFI,GITET Embalut,500,New,2,SUTET,90.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0102,GITET KFI — GITET Balikpapan,GITET KFI,GITET Balikpapan,500,New,2,SUTET,157.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0103,Melak — Ujoh Bilang,Melak,Ujoh Bilang,150,New,2,SUTT,150.0,2031,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0104,GI Maloy — PT Ganda Alam Makmur,GI Maloy,PT Ganda Alam Makmur,150,New,2,SUTT,15.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0105,Bangkanai — PT Manoor Bulan Lestari (MBL),Bangkanai,PT Manoor Bulan Lestari (MBL),150,New,2,SUTT,28.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0106,Melak — PT Indo Tambangraya Megah,Melak,PT Indo Tambangraya Megah,150,New,2,SUTT,12.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0107,Bontang — PT Badak,Bontang,PT Badak,150,New,2,SUTT,14.0,2032,Planned,Kalimantan Timur,kalimantan,787,
