id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SUMATRA-T-0037,Galang — Rantau Prapat,Galang,Rantau Prapat,500,,,,440.0,2028,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0038,Inalum / Kuala Tanjung*** — Inc. 2 Phi (Galang - Rantau Prapat)***,Inalum / Kuala Tanjung***,Inc. 2 Phi (Galang - Rantau Prapat)***,500,,,,20.0,2032,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0039,GITET Sumatera 1 — PLTA Pump Storage,GITET Sumatera 1,PLTA Pump Storage,500,,,,85.0,2033,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0040,Galang — PLTA Pump Storage-1,Galang,PLTA Pump Storage-1,500,,,,100.0,2033,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0041,Pangkalan Susu — Medan Barat,Pangkalan Susu,Medan Barat,275,,,,120.0,2026,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0042,PLTA Batang Toru — Inc. 2 Phi (Sarulla- Pd.Sidempuan),PLTA Batang Toru,Inc. 2 Phi (Sarulla- Pd.Sidempuan),275,,,,40.0,2026,Construction,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0043,Sarulla — Rantau Prapat,Sarulla,Rantau Prapat,275,,,,240.0,2028,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0044,Galang — Medan Timur,Galang,Medan Timur,275,,,,40.0,2032,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0045,Simangkok — PLTA Asahan III (FTP 2),Simangkok,PLTA Asahan III (FTP 2),150,,,,22.0,2025,Construction,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0046,Medan Barat — Inc. 2 Phi (Glugur-Paya Geli) #arah Glugur,Medan Barat,Inc. 2 Phi (Glugur-Paya Geli) #arah Glugur,150,,,,2.0,2026,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0047,Medan Barat — Inc. 2 Phi (Glugur-Paya Geli) #arah payageli,Medan Barat,Inc. 2 Phi (Glugur-Paya Geli) #arah payageli,150,,,,2.0,2026,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0048,PLTP Sorik Marapi (FTP 2) — Natal,PLTP Sorik Marapi (FTP 2),Natal,150,,,,106.0,2026,Committed,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0049,Natal — Ujung Gading,Natal,Ujung Gading,150,,,,154.0,2026,Committed,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0050,Medan Timur — Inc. 2 Phi (KIM - Sei Rotan),Medan Timur,Inc. 2 Phi (KIM - Sei Rotan),150,,,,4.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0051,Medan Timur — Inc. 2 Phi (Belawan - Sei Rotan),Medan Timur,Inc. 2 Phi (Belawan - Sei Rotan),150,,,,20.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0052,Glugur — Kesawan,Glugur,Kesawan,150,,,,5.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0053,Kesawan — Listrik,Kesawan,Listrik,150,,,,4.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0054,KIM — Mabar,KIM,Mabar,150,,,,4.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0055,Medan Barat (Rekonduktoring & Perkuatan Tower) — Glugur (Rekonduktoring & perkuatan Tower),Medan Barat (Rekonduktoring & Perkuatan Tower),Glugur (Rekonduktoring & perkuatan Tower),150,,,,10.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0056,Medan Timur — Pancing,Medan Timur,Pancing,150,,,,20.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0057,Parlilitan — Dolok Sanggul,Parlilitan,Dolok Sanggul,150,,,,72.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0058,Kuala — Binjai,Kuala,Binjai,150,,,,70.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0059,Binjai Timur — Inc. 2 Phi (Binjai - Payageli),Binjai Timur,Inc. 2 Phi (Binjai - Payageli),150,,,,2.0,2027,Planned,Sumatera Utara,sumatra,626,Tabel A2.12
RUPTL-SUMATRA-T-0060,PLTU Sumut-1 — PLTU Belawan,PLTU Sumut-1,PLTU Belawan,150,,,,4.0,2028,Construction,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0061,Sidikalang — PT Dairi Prima Mineral,Sidikalang,PT Dairi Prima Mineral,150,,,,80.0,2028,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0062,Medan Barat — Batu Gingging,Medan Barat,Batu Gingging,150,,,,10.0,2029,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0063,Siempat Rube — Parlilitan,Siempat Rube,Parlilitan,150,,,,48.0,2032,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0064,Gunung Sitoli — Nias Barat,Gunung Sitoli,Nias Barat,70,,,,70.0,2028,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0065,PLTS Sumatera (Kuota) Tersebar 50 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 50 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2026,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0066,Sumatera BESS-1 50 MW — GI Eksisting / Baru Sumatera,Sumatera BESS-1 50 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2028,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0067,PLTS Sumatera (Kuota) Tersebar 25 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 25 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2028,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0068,PLTA Sumatera (Kuota) Tersebar 250 MW — GI Eksisting / Baru Sumatera,PLTA Sumatera (Kuota) Tersebar 250 MW,GI Eksisting / Baru Sumatera,150,,,,20.0,2028,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0069,Sumatera BESS-2 200 MW — GI Eksisting / Baru Sumatera,Sumatera BESS-2 200 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2029,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0070,PLTS Sumatera (Kuota) Tersebar 50 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 50 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2029,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0071,PLTS Sumatera (Kuota) Tersebar 25 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 25 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2030,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
